eq,variable,y,pred
1,4,0.0,0.025662485439092747
1,40,0.0,0.025650210819469124
1,41,0.0,0.025695504101142498
1,42,0.0,0.025574901732952685
1,43,0.0,0.0256522070754809
1,44,0.0,0.025628923134150872
1,45,0.0,0.025712564072628945
1,46,0.0,0.025664099125921967
1,47,0.0,0.025709288458541993
1,48,0.0,0.025620863569438497
1,49,0.148209041386684,0.025491334389616625
1,5,0.144602841632033,0.025504467677897123
1,50,0.0,0.02556021450197527
1,51,0.0,0.02561579282124659
1,52,0.0,0.025652041030566248
1,53,0.0,0.025556097409726735
1,54,0.0,0.025665147948548593
1,55,0.0,0.025727186800126305
1,56,0.0,0.02554834216344028
1,57,0.0,0.0256067386466816
1,58,0.0,0.025689850847857337
1,59,0.0,0.02559029755205918
1,6,0.0,0.025747389421656296
1,60,0.0,0.02564625424847876
1,61,0.0,0.02564419460510291
1,62,0.0,0.02565195192240196
1,63,0.0,0.025614694182110667
1,64,0.0,0.025587494157479098
1,65,0.0,0.02562422208553145
1,66,0.0,0.025650685305721736
1,67,-0.132739043756665,0.025614838638066736
1,68,0.0,0.025680213522864054
1,69,0.0,0.025714186858789102
1,7,0.0,0.02578386126048292
1,70,0.0,0.02563035584646789
1,71,0.134320656555534,0.025670235947215434
1,72,0.0,0.025792632058899458
1,73,0.0,0.02566794190490189
1,74,0.150229283148438,0.025679781207577218
1,75,0.0,0.025845159192911846
1,76,0.0,0.02574515191184143
1,77,0.0,0.025676563060444524
1,78,0.0,0.025517733295235184
1,79,0.0,0.0256648924342086
1,8,0.0,0.02567541862658283
1,80,0.0,0.025629786664257463
1,81,0.0,0.025621257356284052
1,82,0.0,0.025570067453064484
1,83,0.0,0.025706905817775447
1,84,0.0,0.025641244688904136
1,85,0.0,0.025708874003994527
1,86,0.0,0.02573024880940692
1,87,0.0,0.02574877435303216
1,88,0.0,0.025646179428541065
1,89,0.0,0.0256355659419635
1,9,0.0,0.025596087695131345
1,90,0.0,0.025698632679704184
1,91,0.0,0.025571272589821042
1,92,0.0,0.025630179016248436
1,93,0.0,0.025565782487136104
1,94,0.0,0.02566569464717544
1,95,0.0,0.02549769352574469
1,96,0.0,0.02562166202177472
1,97,0.0,0.02557377763463505
1,98,0.0,0.025630424345302435
1,99,0.0,0.025599368956281125
10,1,0.0,0.02563409320267099
10,10,0.0,0.025591073032333107
10,100,0.0,0.02568146126743889
10,101,0.0,0.02562110413084166
10,102,0.0,0.025647174665995753
10,103,0.0,0.025724239992368066
10,104,0.0,0.02564614172748135
10,105,0.0,0.025627352760808717
10,106,0.0,0.025650750348430264
10,107,0.0,0.025501583367085124
10,108,0.0,0.02578699588485169
10,109,0.0,0.025698045200167226
10,11,0.0,0.025506417766332258
10,110,0.0,0.025707524561375046
10,111,0.0,0.02560730832703638
10,112,0.0,0.025473438058023056
10,113,0.0,0.025663746723928505
10,114,0.0,0.025564633861469812
10,115,0.0,0.025721357773772942
10,116,0.0,0.025556930412601528
10,117,0.0,0.025741506315524357
10,118,0.0,0.025676012710438085
10,119,0.0,0.02563163430709196
10,12,0.0,0.025741462295280515
10,120,0.0,0.02564057887463482
10,121,0.0,0.02569641875471037
10,122,0.152998000621109,0.025568498531756686
10,123,0.0,0.0256195791310813
10,124,0.0,0.02559283318951051
10,125,0.0,0.025605454206724405
10,126,0.0,0.025565355238723074
10,127,0.0,0.025542297218981942
10,128,0.0,0.02554675235845116
10,129,0.0,0.025686734062066896
10,13,0.0,0.025675975432889145
10,130,0.0,0.02567781129708765
10,131,0.0,0.025671594572744847
10,132,0.0,0.02566515426885995
10,133,0.0,0.02550542007513296
10,134,0.163459226418303,0.025661957409793264
10,135,0.0,0.025606684345769248
10,136,0.0,0.025746344806553398
10,137,0.0,0.025606084739759595
10,138,0.0,0.02552783740669338
10,139,0.0,0.025616341027154894
10,14,0.0,0.025755033174986647
10,140,0.0,0.02567234459447232
10,141,0.0,0.025582945201041398
10,142,0.0,0.025725290552531973
10,143,0.0,0.02572973183300626
10,144,0.0,0.02554931379185502
10,145,0.0,0.02548125823145434
10,146,0.0,0.025658084346037387
10,147,0.0,0.025524274553692695
10,148,0.0,0.025587711326758616
10,149,0.0,0.025715805295631347
10,15,0.0,0.025652487289234045
10,150,0.0,0.025623490063827258
10,151,0.0,0.02572957526500984
10,152,0.0,0.025627186138216136
